Section,Element,Cardinality,Required,Field Title,Description,Property,Property Range Comments,Comments,Visibility,Example,Type,Default Value,Controlled Terms,Lookup,Ontology
,,,Optional,Award Page URL,The unique identifier (IRI) leading to a page provided by the funder for more information about the award (grant).,http://purl.org/radx-terms/metadata-terms/awardPageUrl,,,,,IRI,,,,
,,,Recommended,Award Local Identifier,"The code assigned by the funding provider to a sponsored award (grant). (Can be an IRI, but typically is not.)",http://purl.org/radx-terms/metadata-terms/awardIdentifier,,,,,,,,,
,,,Recommended,Funder Name,Name of the organization providing the funding for the described data file ('funding provider').,http://purl.org/radx-terms/metadata-terms/funderName,,,,,,,,,
,,,Recommended,Funder Identifier,Globally unique string that identifies the funding provider.,http://purl.org/radx-terms/metadata-terms/funderIdentifier,,,,,,,,,
,,,Optional,Funder Identifier Scheme,Name of the scheme or authority for the Funder Identifier.,http://purl.org/radx-terms/metadata-terms/funderIdentifierScheme,,,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Funder Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Funder Identifier.,http://purl.org/radx-terms/metadata-terms/funderIdentifierSchemeIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,Data File Distribution,MULTIPLE,,,"Details about the distribution for this individual public presentation of the data file (if part of the Distribution metadata), or for all the public presentations of the data file being described (if part of the data file metadata).",http://purl.org/radx-terms/metadata-terms/distributionDescriptor,,,,,,,,,
,,,Optional,Distribution Publisher,The organization or resource that provides services to make publicly available this distribution of the data file.,http://purl.org/radx-terms/metadata-terms/distributionPublisher,,,,,,,,,
,,,Optional,Distribution Publisher Identifier,Globally unique string that identifies the Distribution Publisher.,http://purl.org/radx-terms/metadata-terms/distributionPublisherIdentifier,,,,,,,,,
,,,Optional,Distribution Publisher Identifier Scheme,Name of the scheme or authority for the Distribution Publisher Identifier.,http://purl.org/radx-terms/metadata-terms/distributionPublisherIdentifierScheme,,add IRI also? maybe to this vocabulary?,,,,,"GRID, ISNI, LinkedIn ID, ORCiD, ResearcherID, ROR, Scopus",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierScheme,
,,,Optional,Distribution Publisher Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Distribution Publisher Identifier.,http://purl.org/radx-terms/metadata-terms/distributionPublisherIdentifierSchemeIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,"https://www.researcherid.com, https://www.grid.ac/, https://ror.org/, https://isni.org/, https://www.linkedin.com/, https://www.scopus.com/, https://orcid.org/",,
,,,Optional,Distribution Identifier,A globally unique string that identifies the data file distribution.,http://purl.org/radx-terms/metadata-terms/distributionIdentifier,,,,,,,,,
,,,Optional,Distribution Identifier Type,The identifier type used to identify the data file distribution.,http://purl.org/radx-terms/metadata-terms/distributionIdentifierType,,,,,,,"ARK, arXiv, bibcode, DOI, EAN13, EISSN, Handle, IGSN, IRI, ISBN, ISSN, ISTC, LISSN, LSID, PMID, PURL, UPC, URI, URL, URN, w3id",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierType,
,,,Optional,Distribution Format,An established standard to which the data file distribution conforms.,http://purl.org/radx-terms/metadata-terms/distributionFormat,,,,,,,,,
,,,Optional,Distribution Media Type,"A media type, formerly known as a MIME type, of data file distribution.",http://purl.org/radx-terms/metadata-terms/distributionMediaType,,,,,,,"application/acad, application/arj, application/base64, application/binhex, application/binhex4, application/book, application/cdf, application/clariscad, application/commonground, application/drafting, application/dsptype, application/dxf, application/ecmascript, application/envoy, application/epub+zip, application/excel, application/fractals, application/freeloader, application/futuresplash, application/gnutar, application/groupwise, application/hlp, application/hta, application/i-deas, application/iges, application/inf, application/java, application/java-archive, application/java-byte-code, application/javascript, application/json, application/ld+json, application/lha, application/lzx, application/mac-binary, application/mac-binhex, application/mac-binhex40, application/mac-compactpro, application/macbinary, application/marc, application/mbedlet, application/mcad, application/mime, application/mspowerpoint, application/msword, application/mswrite, application/netmc, application/octet-stream, application/oda, application/ogg, application/pdf, application/pkcs-12, application/pkcs-crl, application/pkcs10, application/pkcs7-mime, application/pkcs7-signature, application/pkix-cert, application/pkix-crl, application/plain, application/postscript, application/powerpoint, application/pro_eng, application/ringing-tones, application/rtf, application/sdp, application/sea, application/set, application/sla, application/smil, application/solids, application/sounder, application/step, application/streamingmedia, application/toolbook, application/vda, application/vnd.amazon.ebook, application/vnd.android.package-archive, application/vnd.apple.installer+xml, application/vnd.fdf, application/vnd.hp-hpgl, application/vnd.hp-pcl, application/vnd.mozilla.xul+xml, application/vnd.ms-excel, application/vnd.ms-fontobject, application/vnd.ms-pki.certstore, application/vnd.ms-pki.pko, application/vnd.ms-pki.seccat, application/vnd.ms-pki.stl, application/vnd.ms-powerpoint, application/vnd.ms-project, application/vnd.nokia.configuration-message, application/vnd.nokia.ringing-tone, application/vnd.oasis.opendocument.presentation, application/vnd.oasis.opendocument.spreadsheet, application/vnd.oasis.opendocument.text, application/vnd.openxmlformats-officedocument.presentationml.presentation, application/vnd.openxmlformats-officedocument.spreadsheetml.sheet, application/vnd.openxmlformats-officedocument.wordprocessingml.document, application/vnd.rn-realmedia, application/vnd.rn-realplayer, application/vnd.visio, application/vnd.wap.wmlc, application/vnd.wap.wmlscriptc, application/vnd.xara, application/vocaltec-media-desc, application/vocaltec-media-file, application/wordperfect, application/wordperfect6.0, application/wordperfect6.1, application/x-123, application/x-7z-compressed, application/x-abiword, application/x-aim, application/x-authorware-bin, application/x-authorware-map, application/x-authorware-seg, application/x-bcpio, application/x-binary, application/x-binhex40, application/x-bsh, application/x-bytecode.elisp (compiled elisp), application/x-bytecode.python, application/x-bzip, application/x-bzip2, application/x-cdf, application/x-cdlink, application/x-chat, application/x-cmu-raster, application/x-cocoa, application/x-compactpro, application/x-compress, application/x-compressed, application/x-conference, application/x-cpio, application/x-cpt, application/x-csh, application/x-deepv, application/x-director, application/x-dvi, application/x-elc, application/x-envoy, application/x-esrehber, application/x-excel, application/x-fictionbook, application/x-frame, application/x-freearc, application/x-freelance, application/x-gsp, application/x-gss, application/x-gtar, application/x-gzip, application/x-hdf, application/x-helpfile, application/x-httpd-imap, application/x-ima, application/x-internett-signup, application/x-inventor, application/x-ip2, application/x-java-class, application/x-java-commerce, application/x-javascript, application/x-koan, application/x-ksh, application/x-latex, application/x-lha, application/x-lisp, application/x-livescreen, application/x-lotus, application/x-lotusscreencam, application/x-lzh, application/x-lzx, application/x-mac-binhex40, application/x-macbinary, application/x-magic-cap-package-1.0, application/x-mathcad, application/x-meme, application/x-midi, application/x-mif, application/x-mix-transfer, application/x-mplayer2, application/x-msexcel, application/x-mspowerpoint, application/x-navi-animation, application/x-navidoc, application/x-navimap, application/x-navistyle, application/x-netcdf, application/x-newton-compatible-pkg, application/x-nokia-9000-communicator-add-on-software, application/x-omc, application/x-omcdatamaker, application/x-omcregerator, application/x-pagemaker, application/x-pcl, application/x-pixclscript, application/x-pkcs10, application/x-pkcs12, application/x-pkcs7-certificates, application/x-pkcs7-certreqresp, application/x-pkcs7-mime, application/x-pkcs7-signature, application/x-pointplus, application/x-portable-anymap, application/x-project, application/x-qpro, application/x-rar-compressed, application/x-rtf, application/x-sdp, application/x-sea, application/x-seelogo, application/x-sh, application/x-shar, application/x-shockwave-flash, application/x-sit, application/x-sprite, application/x-stuffit, application/x-sv4cpio, application/x-sv4crc, application/x-tar, application/x-tbook, application/x-tcl, application/x-tex, application/x-texinfo, application/x-troff, application/x-troff-man, application/x-troff-me, application/x-troff-ms, application/x-troff-msvideo, application/x-ustar, application/x-visio, application/x-vnd.audioexplosion.mzz, application/x-vnd.ls-xpix, application/x-vrml, application/x-wais-source, application/x-winhelp, application/x-wintalk, application/x-world, application/x-wpwin, application/x-wri, application/x-x509-ca-cert, application/x-x509-user-cert, application/xhtml+xml, application/xml, application/zip, audio/aac, audio/aiff, audio/basic, audio/it, audio/make, audio/make.my.funk, audio/mid, audio/midi, audio/mod, audio/mp3, audio/mpeg, audio/nspaudio, audio/ogg, audio/s3m, audio/tsp-audio, audio/tsplayer, audio/vnd.qcelp, audio/voc, audio/voxware, audio/wav, audio/webm, audio/x-adpcm, audio/x-aiff, audio/x-au, audio/x-gsm, audio/x-jam, audio/x-liveaudio, audio/x-mid, audio/x-midi, audio/x-mod, audio/x-mpeg, audio/x-mpequrl, audio/x-nspaudio, audio/x-pn-realaudio, audio/x-pn-realaudio-plugin, audio/x-psid, audio/x-realaudio, audio/x-twinvq, audio/x-twinvq-plugin, audio/x-vnd.audioexplosion.mjuicemediafile, audio/x-voc, audio/x-wav, audio/xm, chemical/x-pdb, drawing/x-dwf (old), font/otf, font/ttf, font/woff, font/woff2, i-world/i-vrml, image/bmp, image/cmu-raster, image/fif, image/florian, image/g3fax, image/gif, image/ief, image/jpeg, image/jutvision, image/naplps, image/pict, image/pjpeg, image/png, image/svg+xml, image/tiff, image/vasa, image/vnd.djvu, image/vnd.dwg, image/vnd.fpx, image/vnd.microsoft.icon, image/vnd.net-fpx, image/vnd.rn-realflash, image/vnd.rn-realpix, image/vnd.wap.wbmp, image/vnd.xiff, image/webp, image/x-cmu-raster, image/x-dwg, image/x-icon, image/x-jg, image/x-jps, image/x-niff, image/x-pcx, image/x-pict, image/x-portable-anymap, image/x-portable-bitmap, image/x-portable-graymap, image/x-portable-greymap, image/x-portable-pixmap, image/x-quicktime, image/x-rgb, image/x-tiff, image/x-windows-bmp, image/x-xbitmap, image/x-xbm, image/x-xpixmap, image/x-xwd, image/x-xwindowdump, image/xbm, image/xpm, message/rfc822, model/iges, model/vnd.dwf, model/vrml, model/x-pov, multipart/x-gzip, multipart/x-ustar, music/crescendo, music/x-karaoke, paleovu/x-pv, text/asp, text/calendar, text/css, text/csv, text/ecmascript, text/fb2, text/html, text/javascript, text/mcf, text/pascal, text/plain, text/richtext, text/scriplet, text/sgml, text/tab-separated-values, text/uri-list, text/vnd.abc, text/vnd.fmi.flexstor, text/vnd.rn-realtext, text/vnd.wap.wml, text/vnd.wap.wmlscript, text/webviewhtml, text/x-asm, text/x-audiosoft-intra, text/x-c, text/x-component, text/x-fortran, text/x-h, text/x-java-source, text/x-la-asf, text/x-m, text/x-pascal, text/x-script, text/x-script.csh, text/x-script.elisp, text/x-script.guile, text/x-script.ksh, text/x-script.lisp, text/x-script.perl, text/x-script.perl-module, text/x-script.phyton, text/x-script.rexx, text/x-script.scheme, text/x-script.sh, text/x-script.tcl, text/x-script.tcsh, text/x-script.zsh, text/x-server-parsed-html, text/x-setext, text/x-sgml, text/x-speech, text/x-uil, text/x-uuencode, text/x-vcalendar, text/xml, video/3gpp, video/3gpp2, video/animaflex, video/avi, video/avs-video, video/dl, video/fli, video/gl, video/mp2t, video/mp4, video/mpeg, video/msvideo, video/ogg, video/quicktime, video/vdo, video/vivo, video/vnd.rn-realvideo, video/vnd.vivo, video/vosaic, video/webm, video/x-amt-demorun, video/x-amt-showrun, video/x-atomic3d-feature, video/x-dl, video/x-dv, video/x-fli, video/x-gl, video/x-isvideo, video/x-motion-jpeg, video/x-mpeg, video/x-mpeq2a, video/x-ms-asf, video/x-ms-asf-plugin, video/x-msvideo, video/x-qtc, video/x-scm, video/x-sgi-movie, windows/metafile, www/mime, x-conference/x-cooltalk, x-music/x-midi, x-world/x-3dmf, x-world/x-svr, x-world/x-vrml, x-world/x-vrt, xgl/drawing, xgl/movie",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/MIMEType,
,,,Optional,Distribution Size,Total size of data file distribution (in bytes).,http://purl.org/radx-terms/metadata-terms/distributionSizeInBytes,,,,,,,,,
,,,Optional,Distribution Access Protocol,The protocol used to access the data file distribution.,http://purl.org/radx-terms/metadata-terms/distributionAccessProtocol,,,,,,,,,
,,,Optional,Distribution Access Configuration,The access protocol configuration for querying the data file distribution.,http://purl.org/radx-terms/metadata-terms/distributionAccessConfiguration,,,,,,,,,
,,,Optional,Distribution Query Statement,Technical statement(s) for querying the data file distribution.,http://purl.org/radx-terms/metadata-terms/distributionQueryStatement,,,,,,,,,
,>Data File Publication Date,SINGLE,,,Publication date of this distribution the data file.,http://purl.org/radx-terms/metadata-terms/distributionPublicationDateDescriptor,,,,,,,,,
,,,Optional,Data File Publication Date,Date on which this distribution of the data file was published,http://purl.org/radx-terms/metadata-terms/distributionPublicationDate,,,,,date,,,,
,,,Optional,Publication Date Type,Type of the date ('Published') with respect to the data file.,http://purl.org/radx-terms/metadata-terms/distributionPublicationDateType,,,HIDDEN,,,[Published] (https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/Published),Published,https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/DataType,
,Data Characteristics Summary,SINGLE,,,"Characteristics of the data within the data file, particularly of the cohorts in the data file.",http://purl.org/radx-terms/metadata-terms/dataCharacteristicsDescriptor,,See the gov studies template we did to see if we have a cohort model,,,,,,,
,,,Optional,Data Characteristics Table in HTML,Formatted HTML code for a table of statistical values,http://purl.org/radx-terms/metadata-terms/dataCharacteristicsTableInHtml,,,,,textarea,,,,
,,,Optional,Data Characteristics Table in CSV,Enter comma-separated values containing summary statistics characterizing this data file,http://purl.org/radx-terms/metadata-terms/dataCharacteristicsTableInCsv,,,,,textarea,,,,
,,,,Data Characteristics Table in TSV,Enter tab-separated values containing summary statistics characterizing this data file,http://purl.org/radx-terms/metadata-terms/dataCharacteristicsTableInTsv,,,,,,,,,
,,MULTIPLE,Optional,Data Characteristics Table in Key-Value Pairs,"Enter the name of the characteristic being described in the first (key) field, and the value for that characteristic in the second (value) field.. Note this is a repeating field and so can support multiple key-value pairs.",http://purl.org/radx-terms/metadata-terms/dataCharacteristicsTableInKeyValuePairs,,,,,attribute-value,,,,
Provenance,,,,,,,,,,,,,,,
,Data Source,MULTIPLE,,,"Physical or conceptual entity (agent) that creates the data streams that make up the described data file. The data source may or may not be associated with a fixed location; for example, a series of discrete sensors deployed over time to a single location may be considered a single data source in some systems.",http://purl.org/radx-terms/metadata-terms/dataSourceDescriptor,,,,,,,,,
,,,Optional,Data Source Name,"Human readable name of data source from which the variable(s) come(s). Physical or conceptual entity that creates the data streams that make up the described data file. The data source may or may not be associated with a fixed location; for example, a series of discrete sensors deployed over time to a single location may be considered a single data source in some systems.",http://purl.org/radx-terms/metadata-terms/dataSourceName,,,,,,,,,
,,,Optional,Data Source Identifier,"Globally unique string that identifies the data source (e.g., PID of an instrument).",http://purl.org/radx-terms/metadata-terms/dataSourceIdentifier,,,,,,,,,
,,,Optional,Data Source Identifier Scheme,The name of the scheme or authority used for the Data Source Identifier.,http://purl.org/radx-terms/metadata-terms/dataSourceIdentifierScheme,,,,,,,"ARK, arXiv, bibcode, DOI, EAN13, EISSN, Handle, IGSN, IRI, ISBN, ISSN, ISTC, LISSN, LSID, PMID, PURL, UPC, URI, URL, URN, w3id",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierType,
,,,Optional,Data Source Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Data Source Identifier.,http://purl.org/radx-terms/metadata-terms/dataSourceIdentifierSchemeIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,,,
,Data Stream,MULTIPLE,,,"A collection of one or more variable records that make up this data set. Each data stream originates from a single data source (e.g., sensor, process, or person). A data stream can grow over time. ",http://purl.org/radx-terms/metadata-terms/dataStreamDescriptionDescriptor,,,,,,,,,
,,,Optional,Data Stream Name,"Human readable name of collection of records coming from a data source. A data stream is a collection of one or more variable records originating from a single data source (e.g., sensor, process, or person). A data stream can grow over time.",http://purl.org/radx-terms/metadata-terms/dataStreamName,,,,,,,,,
,,,Optional,Data Stream Identifier,Globally unique string that identifies the collection of records coming from a data source.,http://purl.org/radx-terms/metadata-terms/dataStreamIdentifier,,,,,,,,,
,,,Optional,Data Stream Identifier Scheme,The name of the scheme or authority used for the Data Stream Identifier.,http://purl.org/radx-terms/metadata-terms/dataStreamIdentifierScheme,,,,,,,"ARK, arXiv, bibcode, DOI, EAN13, EISSN, Handle, IGSN, IRI, ISBN, ISSN, ISTC, LISSN, LSID, PMID, PURL, UPC, URI, URL, URN, w3id",https://bioportal.bioontology.org/ontologies/FDC-GDMT/?p=classes&conceptid=http://vocab.fairdatacollective.org/gdmt/IdentifierType,
,,,Optional,Data Stream Identifier Scheme IRI,The unique identifier (IRI) of the scheme or authority used for the Data Stream Identifier.,http://purl.org/radx-terms/metadata-terms/dataStreamIdentifierSchemeIri,,1-1 mapping of names to IRIs,HIDDEN,,IRI,,,,
,,MULTIPLE,Optional,Data Stream Variable Name,The local name of a variable contained in the data stream.,http://purl.org/radx-terms/metadata-terms/dataStreamVariableName,,,,,,,,,
,,,Optional,Data Stream Data Source Identifier,"Globally unique string that identifies the data source (e.g., PID of an instrument) that generated this Data Stream.",http://purl.org/radx-terms/metadata-terms/dataStreamDataSourceIdentifier,,,,,,,,,
,Data File Creation Process,MULTIPLE,,,Process (activity) used to make the data file or product.,http://purl.org/radx-terms/metadata-terms/dataFileCreationProcessDescriptor,,,,,,,,,
,,,Optional,Process Name,Full name of the process that operates to make the data file or product.,http://purl.org/radx-terms/metadata-terms/creationProcessName,,,,,,,,,
,,,Optional,Process IRI,Unique identifier (IRI) for the process used to make the data file or product (preferably a resolvable and persistent identifier),http://purl.org/radx-terms/metadata-terms/creationProcessIri,,,,,,,,,
,,,Optional,Process Version,"Version of the process used to make this data file, typically a string (e.g., '3.0.3')",http://purl.org/radx-terms/metadata-terms/creationProcessVersion,,,,,,,,,
,,,Optional,Process Execution Identifier,"Identification of the particular run of the process used to make this data file (a deterministic string; in software, typically either a timestamp combined with the machine on which the software was executed; or a unique identifier generated by the controlling software for each run of the process).",http://purl.org/radx-terms/metadata-terms/creationProcessExecutionIdentifier,,,,,,,,,
Spatiotemporal Coverage,,,,,,,,,,,,,,,
,Data File Temporal Coverage,MULTIPLE,,,A temporal description that specifies the temporal coverage of the data contained within the data file associated with this metadata.,http://purl.org/radx-terms/metadata-terms/temporalCoverageDescriptor,,,,,,,,,
,,,Optional,Temporal Extent Minimum Value,The start date (and optionally time) of the data.,http://purl.org/radx-terms/metadata-terms/temporalExtentMinimumValue,,,,,date,,,,
,,,Optional,Temporal Extent Maximum Value,The end date (and optionally time) of the data.,http://purl.org/radx-terms/metadata-terms/temporalExtentMaximumValue,,,,,date,,,,
,,,Optional,Temporal Resolution,Interval between two consecutive data records.,http://purl.org/radx-terms/metadata-terms/temporalResolution,,,,,,,,,
,,,Optional,Duration,The total duration of data temporal coverage.,http://purl.org/radx-terms/metadata-terms/temporalCoverageDuration,,,,,,,,,
,Data File Spatial Coverage,MULTIPLE,,,A geospatial description that specifies the geographical coverage of the data contained within the data file associated with this metadata.,http://purl.org/radx-terms/metadata-terms/spatialCoverageDescriptor,,,,,,,,,
,>Bounding Box,MULTIPLE,,,A geographical bounding box that specifies the geographical coverage of the data contained within the data file associated with this metadata.,http://purl.org/radx-terms/metadata-terms/boxCoverageDescriptor,,,,,,,,,
,,,Optional,Maximum Latitude,"Location of the maximum, or northernmost, data point in this data file, expressed in decimal degrees (southern latitudes are negative)",http://purl.org/radx-terms/metadata-terms/maxLat,,,,,,,,,
,,,Optional,Minimum Latitude,"Location of the minimum, or southernmost, data point in this data file, expressed in decimal degrees (southern latitudes are negative)",http://purl.org/radx-terms/metadata-terms/minLat,,,,,,,,,
,,,Optional,Minimum Longitude,"Location of the minimum, or westernmost, data point in this data file, expressed in decimal degrees (western longitudes are negative)",http://purl.org/radx-terms/metadata-terms/minLon,,,,,,,,,
,,,Optional,Maximum Longitude,"Location of the maximum, or easternmost, data point in this data file, expressed in decimal degrees (western longitudes are negative)",http://purl.org/radx-terms/metadata-terms/maxLon,,,,,,,,,
,>Bounding Shape,MULTIPLE,,,A list of geographical coordinates that specifies the external bounday of the polygon that describes the coverage of the data contained within the data file associated with this metadata.,http://purl.org/radx-terms/metadata-terms/dataFileShapeCoverageDescriptor,,,,,,,,,
,,,Optional,Point Number,Monotonically increasing identifier of the point in the shape being defined (defined in clockwise order and containing the right side of the closed shape).,http://purl.org/radx-terms/metadata-terms/pointNumber,,,,,integer,,,,
,,,Optional,Latitude,Location of this point in north latitude decimal degrees (southern latitudes are negative),http://purl.org/radx-terms/metadata-terms/latitude,,,,,float,,,,
,,,Optional,Longitude,Location of this point in east longitude decimal degrees (western longitudes are negative),http://purl.org/radx-terms/metadata-terms/longitude,,,,,float,,,,
,>Data File Geopolitical Coverage,MULTIPLE,,,A region specified by the totality of one or more place names,http://purl.org/radx-terms/metadata-terms/geographicalPlaceNameDescriptor,,,,,,,,,
,,MULTIPLE,Optional,Geopolitical region ,Place name depicting a geopolitical region,http://purl.org/radx-terms/metadata-terms/geographicalPlaceName,,,,,,,,https://bioportal.bioontology.org/ontologies/GAZ,
,Data File Elevation Coverage,MULTIPLE,,,The elevation  covered by the data file being described.,http://purl.org/radx-terms/metadata-terms/elevationCoverageDescriptor,,,,,,,,,
,,,Optional,Vertical Extent Minimum Value,"A minimum vertical extent in metres of the data file collection. In case of depth, this contains the maximum depth of data file collection (it is a negative number of greater absolute magnitude than the Vertical Extent Maximum Value).  Note that the unit is metres.",http://purl.org/radx-terms/metadata-terms/minElevation,,,,,float,,,,
,,,Optional,Vertical Extent Maximum Value,"A maximum vertical extent in metres of data file collection. In case of depth, this contains the minimum depth of data file collection (it is a negative number of lesser absolute magnitude than the Vertical Extent Minimum Value).  Note that the unit is metres.",http://purl.org/radx-terms/metadata-terms/maxElevation,,,,,float,,,,
,,,Optional,Vertical Extent Datum,The name of the Datum (reference frame) used for the Vertical Extent values.,http://purl.org/radx-terms/metadata-terms/elevationReferenceFrame,,,,,,,,,
,,,Optional,Vertical Extent Datum IRI,The IRI (Internationalized Resource Identifier) of the Datum (reference frame) used for the Vertical Extent values.,http://purl.org/radx-terms/metadata-terms/elevationReferenceFrameIri,,,,,IRI,,,,
Additional Information,,,,,,,,,,,,,,,
,Auxiliary Metadata,,,,Information about the data file or metadata submission that does not fit into the other categories,http://purl.org/radx-terms/metadata-terms/auxiliaryMetadataDescriptor,,,,,,,,,
,,MULTIPLE,Optional,Data File Descriptive Attribute,"This field supports entry of both the metadata attribute name (in the first field), and the value for that attribute (in the second field). Note this is a repeating field and so can support multiple key-value pairs.",http://purl.org/radx-terms/metadata-terms/auxiliaryMetadataKey,,,,,Attribute-Value,,,,
,,MULTIPLE,Optional,Additional Commentary,Any additional information about the data file or provided metadata.,http://purl.org/radx-terms/metadata-terms/auxiliaryMetadataValue,,,,,textarea,,,,